movie_id,title,rating,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18,cluster
1,Toy Story (1995),3.8783185840707963,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,GoldenEye (1995),3.2061068702290076,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
3,Four Rooms (1995),3.033333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
4,Get Shorty (1995),3.550239234449761,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,Copycat (1995),3.302325581395349,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.576923076923077,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,Twelve Monkeys (1995),3.798469387755102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
8,Babe (1995),3.9954337899543377,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
9,Dead Man Walking (1995),3.8963210702341136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,Richard III (1995),3.831460674157303,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
11,Seven (Se7en) (1995),3.847457627118644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
12,"Usual Suspects, The (1995)",4.385767790262173,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
13,Mighty Aphrodite (1995),3.4184782608695654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,"Postino, Il (1994)",3.9672131147540983,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
15,Mr. Holland's Opus (1995),3.7781569965870307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,French Twist (Gazon maudit) (1995),3.2051282051282053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
17,From Dusk Till Dawn (1996),3.119565217391304,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2
18,"White Balloon, The (1995)",2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,Antonia's Line (1995),3.9565217391304346,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,Angels and Insects (1995),3.4166666666666665,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21,Muppet Treasure Island (1996),2.761904761904762,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
22,Braveheart (1995),4.151515151515151,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
23,Taxi Driver (1976),4.1208791208791204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
24,Rumble in the Bronx (1995),3.4482758620689653,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
25,"Birdcage, The (1996)",3.4436860068259385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
26,"Brothers McMullen, The (1995)",3.452054794520548,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
27,Bad Boys (1995),3.1052631578947367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
28,Apollo 13 (1995),3.931159420289855,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
29,Batman Forever (1995),2.6666666666666665,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
30,Belle de jour (1967),3.945945945945946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31,Crimson Tide (1995),3.6298701298701297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
32,Crumb (1994),3.7901234567901234,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,Desperado (1995),3.4536082474226806,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
34,"Doom Generation, The (1995)",2.7142857142857144,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35,Free Willy 2: The Adventure Home (1995),2.1818181818181817,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36,Mad Love (1995),2.1538461538461537,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
37,Nadja (1994),2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,"Net, The (1995)",3.0083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
39,Strange Days (1995),3.264367816091954,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.8947368421052633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
41,Billy Madison (1995),3.081081081081081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
42,Clerks (1994),3.804054054054054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
43,Disclosure (1994),3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
44,Dolores Claiborne (1994),3.3417721518987342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
45,Eat Drink Man Woman (1994),4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
